RVA,Runtime,Type,Module,Label,Original,EXE_Value
0x2ee57d,0x6ee57c,Sing,Chassis,Net Weight (lbs),3400.5,3400.5
0x2ee5ad,0x6ee5ac,Sing,Chassis,Net Weight (lbs),3300.5,3300.5
0x2ee5d9,0x6ee5d8,Sing,Chassis,Net Weight (lbs),2600.5,2600.5
0x2ee579,0x6ee578,Sing,Chassis,Gross Weight (lbs),3600,3600
0x2ee5a9,0x6ee5a8,Sing,Chassis,Gross Weight (lbs),3500,3500
0x2ee5d5,0x6ee5d4,Sing,Chassis,Gross Weight (lbs),2800,2800
0x2c1ed,0x42c1ec,Sing,Chassis,???,0.3,0.3
0x2c6cd,0x42c6cc,Sing,Chassis,???,0.3,0.3
0x2cbad,0x42cbac,Sing,Chassis,???,0.3,0.3
0x2d08d,0x42d08c,Sing,Chassis,???,0.3,0.3
0x2d568,0x42d567,Sing,Chassis,???,0.3,0.3
0x2da35,0x42da34,Sing,Chassis,???,0.3,0.3
0x2df0d,0x42df0c,Sing,Chassis,???,0.3,0.3
0x2e3ed,0x42e3ec,Sing,Chassis,???,0.3,0.3
0x2e8cd,0x42e8cc,Sing,Chassis,???,0.3,0.3
0x2edad,0x42edac,Sing,Chassis,???,0.3,0.3
0x2f288,0x42f287,Sing,Chassis,???,0.3,0.3
0x2f755,0x42f754,Sing,Chassis,???,0.3,0.3
0x2fc2d,0x42fc2c,Sing,Chassis,???,0.3,0.3
0x3011d,0x43011c,Sing,Chassis,???,0.3,0.3
0x305fd,0x4305fc,Sing,Chassis,???,0.3,0.3
0x30ad8,0x430ad7,Sing,Chassis,???,0.3,0.3
0x30fb5,0x430fb4,Sing,Chassis,???,0.3,0.3
0x3149d,0x43149c,Sing,Chassis,???,0.225,0.225
0x3197d,0x43197c,Sing,Chassis,???,0.225,0.225
0x31e5d,0x431e5c,Sing,Chassis,???,0.225,0.225
0x32338,0x432337,Sing,Chassis,???,0.225,0.225
0x32818,0x432817,Sing,Chassis,???,0.225,0.225
0x2c1f7,0x42c1f6,Sing,Chassis,???,1.564,1.564
0x2c6d7,0x42c6d6,Sing,Chassis,???,1.564,1.564
0x2cbb7,0x42cbb6,Sing,Chassis,???,1.564,1.564
0x2d097,0x42d096,Sing,Chassis,???,1.564,1.564
0x2d572,0x42d571,Sing,Chassis,???,1.564,1.564
0x2da54,0x42da53,Sing,Chassis,???,1.564,1.564
0x2df17,0x42df16,Sing,Chassis,???,1.564,1.564
0x2e3f7,0x42e3f6,Sing,Chassis,???,1.564,1.564
0x2e8d7,0x42e8d6,Sing,Chassis,???,1.564,1.564
0x2edb7,0x42edb6,Sing,Chassis,???,1.564,1.564
0x2f292,0x42f291,Sing,Chassis,???,1.564,1.564
0x2f774,0x42f773,Sing,Chassis,???,1.564,1.564
0x2fc37,0x42fc36,Sing,Chassis,???,1.564,1.564
0x30127,0x430126,Sing,Chassis,???,1.564,1.564
0x30607,0x430606,Sing,Chassis,???,1.564,1.564
